Reaction ID,Name,Equation,Lower Bound,Upper Bound
EX_glc_e,D-Glucose exchange,glc__D_e <=> ,-4.67,1000.0
EX_glcn_e,D-Gluconate exchange,glcn_e --> ,0.0,1000.0
EX_glcur_e,D-Glucuronate exchange,glcur_e --> ,0.0,1000.0
EX_glcur1p_e,D-Glucuronate 1-phosphate exchange,glcur1p_e --> ,0.0,1000.0
EX_gln_L_e,L-gln exchange,gln__L_e --> ,0.0,1000.0
EX_glu_L_e,L-Glutamate exchange,glu__L_e --> ,0.0,1000.0
EX_gly_e,Glycine exchange,gly_e --> ,0.0,1000.0
EX_glyald_e,D-Glyceraldehyde exchange,glyald_e --> ,0.0,1000.0
EX_glyc_e,Glycerol exchange,glyc_e --> ,0.0,1000.0
EX_glyc_R_e,(R)-Glycerate exchange,glyc__R_e --> ,0.0,1000.0
EX_glyc3p_e,Glycerol 3-phosphate exchange,glyc3p_e --> ,0.0,1000.0
EX_gmp_e,GMP exchange,gmp_e --> ,0.0,1000.0
EX_gsn_e,Guanosine exchange,gsn_e --> ,0.0,1000.0
EX_gthrd_e,Reduced glutathione exchange,gthrd_e --> ,0.0,1000.0
EX_gua_e,Guanine exchange,gua_e --> ,0.0,1000.0
EX_h_e,H+ exchange,h_e --> ,0.0,1000.0
EX_h2_e,H2 exchange,h2_e --> ,0.0,1000.0
EX_h2o_e,H2O exchange,h2o_e <=> ,-1000.0,1000.0
EX_h2s_e,Hydrogen sulfide exchange,h2s_e --> ,0.0,1000.0
EX_his_L_e,L-Histidine exchange,his__L_e --> ,0.0,1000.0
EX_hom__L_e,L-Homoserine exchange,hom__L_e --> ,0.0,1000.0
EX_hxan_e,Hypoxanthine exchange,hxan_e --> ,0.0,1000.0
EX_ile_L_e,L-Isoleucine exchange,ile__L_e --> ,0.0,1000.0
EX_imp_e,IMP exchange,imp_e --> ,0.0,1000.0
EX_indole_e,Indole exchange,indole_e --> ,0.0,1000.0
EX_inost_e,myo-Inositol exchange,inost_e --> ,0.0,1000.0
EX_ins_e,Inosine exchange,ins_e --> ,0.0,1000.0
EX_k_e,K+ exchange,k_e <=> ,-1000.0,1000.0
EX_lac_D_e,D-lactate exchange,lac__D_e --> ,0.0,1000.0
EX_lac_L_e,L-Lactate exchange,lac__L_e --> ,0.0,1000.0
EX_leu_L_e,L-Leucine exchange,leu__L_e --> ,0.0,1000.0
EX_lys_L_e,L-Lysine exchange,lys__L_e --> ,0.0,1000.0
EX_mal__L_e,L-Malate exchange,mal__L_e --> ,0.0,1000.0
EX_malt_e,Maltose exchange,malt_e --> ,0.0,1000.0
EX_man_e,D-Mannose exchange,man_e --> ,0.0,1000.0
EX_man6p_e,D-Mannose 6-phosphate exchange,man6p_e --> ,0.0,1000.0
EX_met_L_e,L-Methionine exchange,met__L_e --> ,0.0,1000.0
EX_mg2_e,Mg exchange,mg2_e <=> ,-1000.0,1000.0
EX_mn2_e,Mn2+ exchange,mn2_e <=> ,-1000.0,1000.0
EX_mnl_e,D-Mannitol exchange,mnl_e --> ,0.0,1000.0
EX_n2o_e,Nitrous oxide exchange,n2o_e --> ,0.0,1000.0
EX_na1_e,Sodium exchange,na1_e <=> ,-1000.0,1000.0
EX_nac_e,Nicotinate exchange,nac_e --> ,0.0,1000.0
EX_nh4_e,Ammonia exchange,nh4_e <=> ,-1000.0,1000.0
EX_ni2_e,Ni2+ exchange,ni2_e <=> ,-1000.0,1000.0
EX_nmn_e,NMN exchange,nmn_e --> ,0.0,1000.0
EX_no_e,Nitric oxide exchange,no_e --> ,0.0,1000.0
EX_no2_e,Nitrite exchange,no2_e --> ,0.0,1000.0
EX_no3_e,Nitrate exchange,no3_e --> ,0.0,1000.0
EX_o2_e,O2 exchange,o2_e <=> ,-1000.0,1000.0
EX_o2s_e,Superoxide anion exchange,o2s_e --> ,0.0,1000.0
EX_orn_e,Ornithine exchange,orn_e --> ,0.0,1000.0
EX_orot_e,Orotate exchange,orot_e --> ,0.0,1000.0
EX_phe_L_e,L-Phenylalanine exchange,phe__L_e --> ,0.0,1000.0
EX_pheme_e,Protoheme exchange,pheme_e --> ,0.0,1000.0
EX_pi_e,Phosphate exchange,pi_e <=> ,-1000.0,1000.0
EX_pnto__R_e,(R)-Pantothenate exchange,pnto__R_e --> ,0.0,1000.0
EX_ppa_e,Propionate exchange,ppa_e --> ,0.0,1000.0
EX_ppt_e,Phosphonate exchange,ppt_e --> ,0.0,1000.0
EX_pro_L_e,L-Proline exchange,pro__L_e --> ,0.0,1000.0
EX_progly_e,L-Prolinylglycine exchange,progly_e --> ,0.0,1000.0
EX_pydx_e,Pyridoxal exchange,pydx_e --> ,0.0,1000.0
EX_pyr_e,Pyruvate exchange,pyr_e --> ,0.0,1000.0
EX_rib__D_e,D-Ribose exchange,rib__D_e --> ,0.0,1000.0
EX_sbt__D_e,D-Sorbitol exchange,sbt__D_e --> ,0.0,1000.0
EX_ser_L_e,L-ser exchange,ser__L_e --> ,0.0,1000.0
EX_skm_e,Shikimate exchange,skm_e --> ,0.0,1000.0
EX_so3_e,Sulfite exchange,so3_e --> ,0.0,1000.0
EX_so4_e,Sulfate exchange,so4_e <=> ,-1000.0,1000.0
EX_succ_e,Succinate exchange,succ_e --> ,0.0,1000.0
EX_sucr_e,Sucrose exchange,sucr_e --> ,0.0,1000.0
EX_tcynt_e,Thiocyanate exchange,tcynt_e --> ,0.0,1000.0
EX_thr_L_e,L-Threonine exchange,thr__L_e --> ,0.0,1000.0
EX_thymd_e,Thymidine exchange,thymd_e --> ,0.0,1000.0
EX_tma_e,Trimethylamine exchange,tma_e --> ,0.0,1000.0
EX_tmao_e,Trimethylamine N-oxide exchange,tmao_e --> ,0.0,1000.0
EX_tre_e,Trehalose exchange,tre_e --> ,0.0,1000.0
EX_trp_L_e,L-Tryptophan exchange,trp__L_e --> ,0.0,1000.0
EX_tsul_e,Thiosulfate exchange,tsul_e --> ,0.0,1000.0
EX_tyr_L_e,L-Tyrosine exchange,tyr__L_e --> ,0.0,1000.0
EX_uacgam_e,UDP-N-acetyl-D-glucosamine exchange,uacgam_e --> ,0.0,1000.0
EX_udpg_e,UDPglucose exchange,udpg_e --> ,0.0,1000.0
EX_udpgal_e,UDPgalactose exchange,udpgal_e --> ,0.0,1000.0
EX_udpglcur_e,UDP-D-glucuronate exchange,udpglcur_e --> ,0.0,1000.0
EX_ump_e,UMP exchange,ump_e --> ,0.0,1000.0
EX_ura_e,Uracil exchange,ura_e --> ,0.0,1000.0
EX_urea_e,Urea exchange,urea_e --> ,0.0,1000.0
EX_uri_e,Uridine exchange,uri_e --> ,0.0,1000.0
EX_val_L_e,L-Valine exchange,val__L_e --> ,0.0,1000.0
EX_xan_e,Xanthine exchange,xan_e --> ,0.0,1000.0
EX_xmp_e,Xanthosine 5'-phosphate exchange,xmp_e --> ,0.0,1000.0
EX_xtsn_e,Xanthosine exchange,xtsn_e --> ,0.0,1000.0
EX_xyl__D_e,D-Xylose exchange,xyl__D_e --> ,0.0,1000.0
EX_zn2_e,Zinc exchange,zn2_e <=> ,-1000.0,1000.0
ACBCP,Acetyl-CoA carboxylase,accoa_c + cbccp_c <=> bccp_c + malcoa_c,-1000.0,1000.0
BTNC,Biotin carboxylase,atp_c + bccp_c + co2_c + h2o_c --> adp_c + cbccp_c + 2.0 h_c + pi_c,0.0,1000.0
5FTHFC,5-formyltetrahydrofolate cyclo-ligase,5fthf_c + atp_c --> adp_c + mlthf_c + pi_c,0.0,1000.0
FOMETRi,Aminomethyltransferase,5fthf_c + h_c --> h2o_c + methf_c,0.0,1000.0
FTHFD,formyltetrahydrofolate deformylase,10fthf_c + h2o_c --> for_c + h_c + thf_c,0.0,1000.0
GLYCL,Glycine Cleavage System,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,0.0,1000.0
MTHFC,methenyltetrahydrofolate cyclohydrolase,h2o_c + methf_c <=> 10fthf_c + h_c,-1000.0,1000.0
MTHFD,methylenetetrahydrofolate dehydrogenase (NADP),mlthf_c + nadp_c <=> methf_c + nadph_c,-1000.0,1000.0
MTHFR2,"5,10-methylenetetrahydrofolate reductase (NADH)",2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c,0.0,1000.0
TMDS2,thymidylate synthase2,dump_c + h_c + mlthf_c + nadph_c --> dtmp_c + nadp_c + thf_c,0.0,1000.0
GLNS,glutamine synthetase,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,0.0,1000.0
GLUDC,Glutamate Decarboxylase,glu__L_c + h_c --> 4abut_c + co2_c,0.0,1000.0
GLUDy,glutamate dehydrogenase (NADP),akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,0.0,1000.0
GLUN,glutaminase,gln__L_c + h2o_c --> glu__L_c + nh4_c,0.0,1000.0
GLUSy,glutamate synthase (NADPH),akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,0.0,1000.0
ACPPAT120,acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),ddcaACP_c + h_c + pi_c --> BSU15920-MONOMER_mod_pan4p + ddcap_c,0.0,1000.0
ACPPAT140,acyl-(acyl carrier protein):phosphate acyltransferase (C14:0),h_c + myrsACP_c + pi_c --> BSU15920-MONOMER_mod_pan4p + ttdcap_c,0.0,1000.0
ACPPAT141,acyl-(acyl carrier protein):phosphate acyltransferase (C14:1),h_c + pi_c + tdeACP_c --> BSU15920-MONOMER_mod_pan4p + ttdceap_c,0.0,1000.0
ACPPAT160,acyl-(acyl carrier protein):phosphate acyltransferase (C16:0),h_c + palmACP_c + pi_c --> BSU15920-MONOMER_mod_pan4p + hdcap_c,0.0,1000.0
ACPPAT161,acyl-(acyl carrier protein):phosphate acyltransferase (C16:1),h_c + hdeACP_c + pi_c --> BSU15920-MONOMER_mod_pan4p + hdceap_c,0.0,1000.0
ACPPAT180,acyl-(acyl carrier protein):phosphate acyltransferase (C18:0),h_c + ocdcaACP_c + pi_c --> BSU15920-MONOMER_mod_pan4p + ocdcap_c,0.0,1000.0
ACPPAT181,acyl-(acyl carrier protein):phosphate acyltransferase (C18:1),h_c + octeACP_c + pi_c --> BSU15920-MONOMER_mod_pan4p + ocdceap_c,0.0,1000.0
AGPAT120,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C12:0),1ddecg3p_c + ddcaACP_c --> BSU15920-MONOMER_mod_pan4p + pa120_c,0.0,1000.0
AGPAT140,1-tetradecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:0),1tdecg3p_c + myrsACP_c --> BSU15920-MONOMER_mod_pan4p + pa140_c,0.0,1000.0
AGPAT141,1-tetradec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C14:1),1tdec7eg3p_c + tdeACP_c --> BSU15920-MONOMER_mod_pan4p + pa141_c,0.0,1000.0
AGPAT160,1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0),1hdecg3p_c + palmACP_c --> BSU15920-MONOMER_mod_pan4p + pa160_c,0.0,1000.0
AGPAT161,1-hexadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:1),1hdec9eg3p_c + hdeACP_c --> BSU15920-MONOMER_mod_pan4p + pa161_c,0.0,1000.0
AGPAT180,1-octadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:0),1odecg3p_c + ocdcaACP_c --> BSU15920-MONOMER_mod_pan4p + pa180_c,0.0,1000.0
AGPAT181,1-octadec-7-enoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C18:1),1odec11eg3p_c + octeACP_c --> BSU15920-MONOMER_mod_pan4p + pa181_c,0.0,1000.0
APH140,acylphosphatase (C14:0),h2o_c + ttdcap_c --> 2.0 h_c + pi_c + ttdca_c,0.0,1000.0
DASYN120,CDP-diacylglycerol synthetase (n-C12:0),ctp_c + h_c + pa120_c --> cdpdddecg_c + ppi_c,0.0,1000.0
DASYN140,CDP-diacylglycerol synthetase (n-C14:0),ctp_c + h_c + pa140_c --> cdpdtdecg_c + ppi_c,0.0,1000.0
DASYN141,CDP-diacylglycerol synthetase (n-C14:1),ctp_c + h_c + pa141_c --> cdpdtdec7eg_c + ppi_c,0.0,1000.0
DASYN160,CDP-diacylglycerol synthetase (n-C16:0),ctp_c + h_c + pa160_c --> cdpdhdecg_c + ppi_c,0.0,1000.0
DASYN161,CDP-diacylglycerol synthetase (n-C16:1),ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,0.0,1000.0
DASYN180,CDP-diacylglycerol synthetase (n-C18:0),ctp_c + h_c + pa180_c --> cdpdodecg_c + ppi_c,0.0,1000.0
DASYN181,CDP-diacylglycerol synthetase (n-C18:1),ctp_c + h_c + pa181_c --> cdpdodec11eg_c + ppi_c,0.0,1000.0
G3PAT120,glycerol-3-phosphate acyltransferase (C12:0),ddcaACP_c + glyc3p_c --> 1ddecg3p_c + BSU15920-MONOMER_mod_pan4p,0.0,1000.0
G3PAT140,glycerol-3-phosphate acyltransferase (C14:0),glyc3p_c + myrsACP_c --> 1tdecg3p_c + BSU15920-MONOMER_mod_pan4p,0.0,1000.0
G3PAT141,glycerol-3-phosphate acyltransferase (C14:1),glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + BSU15920-MONOMER_mod_pan4p,0.0,1000.0
G3PAT160,glycerol-3-phosphate acyltransferase (C16:0),glyc3p_c + palmACP_c --> 1hdecg3p_c + BSU15920-MONOMER_mod_pan4p,0.0,1000.0
G3PAT161,glycerol-3-phosphate acyltransferase (C16:1),glyc3p_c + hdeACP_c --> 1hdec9eg3p_c + BSU15920-MONOMER_mod_pan4p,0.0,1000.0
G3PAT180,glycerol-3-phosphate acyltransferase (C18:0),glyc3p_c + ocdcaACP_c --> 1odecg3p_c + BSU15920-MONOMER_mod_pan4p,0.0,1000.0
G3PAT181,glycerol-3-phosphate acyltransferase (C18:1),glyc3p_c + octeACP_c --> 1odec11eg3p_c + BSU15920-MONOMER_mod_pan4p,0.0,1000.0
GPDDA2,Glycerophosphodiester phosphodiesterase (Glycerophosphoethanolamine)1,g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c,0.0,1000.0
GPDDA3,Glycerophosphodiester phosphodiesterase (Glycerophosphoserine)1,g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c,0.0,1000.0
GPDDA4,Glycerophosphodiester phosphodiesterase (Glycerophosphoglycerol),g3pg_c + h2o_c --> glyc3p_c + glyc_c + h_c,0.0,1000.0
GPDDA5,Glycerophosphodiester phosphodiesterase (Glycerophosphoinositol),g3pi_c + h2o_c --> glyc3p_c + h_c + inost_c,0.0,1000.0
LPLIPAL1A180pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0)",1odecg3p_c + h2o_c --> glyc3p_c + h_c + ocdca_c,0.0,1000.0
PGSA120,Phosphatidylglycerol synthase (n-C12:0),cdpdddecg_c + glyc3p_c --> cmp_c + h_c + pgp120_c,0.0,1000.0
PGSA140,Phosphatidylglycerol synthase (n-C14:0),cdpdtdecg_c + glyc3p_c --> cmp_c + h_c + pgp140_c,0.0,1000.0
PGSA141,Phosphatidylglycerol synthase (n-C14:1),cdpdtdec7eg_c + glyc3p_c --> cmp_c + h_c + pgp141_c,0.0,1000.0
PGSA160,Phosphatidylglycerol synthase (n-C16:0),cdpdhdecg_c + glyc3p_c --> cmp_c + h_c + pgp160_c,0.0,1000.0
PGSA161,Phosphatidylglycerol synthase (n-C16:1),cdpdhdec9eg_c + glyc3p_c --> cmp_c + h_c + pgp161_c,0.0,1000.0
PGSA180,Phosphatidylglycerol synthase (n-C18:0),cdpdodecg_c + glyc3p_c --> cmp_c + h_c + pgp180_c,0.0,1000.0
PGSA181,Phosphatidylglycerol synthase (n-C18:1),cdpdodec11eg_c + glyc3p_c --> cmp_c + h_c + pgp181_c,0.0,1000.0
GHMT2r,"glycine hydroxymethyltransferase, reversible",ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c,-1000.0,1000.0
GLYCK2,glycerate kinase,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,0.0,1000.0
PGCD,phosphoglycerate dehydrogenase,3pg_c + nad_c --> 3php_c + h_c + nadh_c,0.0,1000.0
PSERT,phosphoserine transaminase,3php_c + glu__L_c --> akg_c + pser__L_c,0.0,1000.0
PSP_L,phosphoserine phosphatase (L-serine),h2o_c + pser__L_c --> pi_c + ser__L_c,0.0,1000.0
SARCOX,sarcosine oxidase,h2o_c + o2_c + sarcs_c --> fald_c + gly_c + h2o2_c,0.0,1000.0
SERD_L,L-serine deaminase,ser__L_c --> nh4_c + pyr_c,0.0,1000.0
ENO,enolase,2pg_c <=> h2o_c + pep_c,-1000.0,1000.0
FBA,fructose-bisphosphate aldolase,fdp_c <=> dhap_c + g3p_c,-1000.0,1000.0
FBP,fructose-bisphosphatase,fdp_c + h2o_c --> f6p_c + pi_c,0.0,1000.0
GAPD,glyceraldehyde-3-phosphate dehydrogenase,g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c,-1000.0,1000.0
GLBRAN2,"1,4-alpha-glucan branching enzyme (glycogen -> bglycogen)",glycogen_c --> bglycogen_c,0.0,1000.0
GLCP,glycogen phosphorylase,glycogen_c + pi_c --> g1p_c,0.0,1000.0
GLCP2,glycogen phosphorylase,bglycogen_c + pi_c --> g1p_c,0.0,1000.0
GLCS1,glycogen synthase (ADPGlc),adpglc_c --> adp_c + glycogen_c + h_c,0.0,1000.0
GLGC,glucose-1-phosphate adenylyltransferase,atp_c + g1p_c + h_c --> adpglc_c + ppi_c,0.0,1000.0
HEX1,hexokinase (D-glucose:ATP),atp_c + glc__D_c --> adp_c + g6p_c + h_c,0.0,1000.0
PDH,pyruvate dehydrogenase,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,0.0,1000.0
PFK,phosphofructokinase,atp_c + f6p_c --> adp_c + fdp_c + h_c,0.0,1000.0
PGI,glucose-6-phosphate isomerase,g6p_c <=> f6p_c,-1000.0,1000.0
PGK,phosphoglycerate kinase,13dpg_c + adp_c <=> 3pg_c + atp_c,-1000.0,1000.0
PGM,phosphoglycerate mutase,3pg_c <=> 2pg_c,-1000.0,1000.0
PPS,phosphoenolpyruvate synthase,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,0.0,1000.0
PYK,pyruvate kinase,adp_c + h_c + pep_c --> atp_c + pyr_c,0.0,1000.0
TPI,triose-phosphate isomerase,dhap_c <=> g3p_c,-1000.0,1000.0
GLYCK,glycerate kinase,atp_c + glyc__R_c --> 3pg_c + adp_c + h_c,0.0,1000.0
ATPPRT,ATP phosphoribosyltransferase,atp_c + prpp_c --> ppi_c + prbatp_c,0.0,1000.0
HISTD,histidinol dehydrogenase,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,0.0,1000.0
HISTP,histidinol-phosphatase,h2o_c + hisp_c --> histd_c + pi_c,0.0,1000.0
HSTPT,histidinol-phosphate transaminase,glu__L_c + imacp_c --> akg_c + hisp_c,0.0,1000.0
IG3PS,Imidazole-glycerol-3-phosphate synthase,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c,0.0,1000.0
IGPDH,imidazoleglycerol-phosphate dehydratase,eig3p_c --> h2o_c + imacp_c,0.0,1000.0
PRAMPC,phosphoribosyl-AMP cyclohydrolase,h2o_c + prbamp_c --> prfp_c,0.0,1000.0
PRATPP,phosphoribosyl-ATP pyrophosphatase,h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c,0.0,1000.0
PRMICI,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,prfp_c <=> prlp_c,-1000.0,1000.0
PRPPS,phosphoribosylpyrophosphate synthetase,atp_c + r5p_c <=> amp_c + h_c + prpp_c,-1000.0,1000.0
CA2t3pp,calcium (Ca+2) transport out via proton antiport,ca2_c + h_e --> ca2_e + h_c,0.0,1000.0
CAt6pp,calcium / sodium antiporter (1:1),ca2_c + na1_e <=> ca2_e + na1_c,-1000.0,1000.0
COBALT2abcpp,Cobalt (Co+2) ABC transporter,atp_c + cobalt2_e + h2o_c --> adp_c + cobalt2_c + h_c + pi_c,0.0,1000.0
COBALT2tpp,cobalt transport in via permease (no H+),cobalt2_e --> cobalt2_c,0.0,1000.0
CYANSTpp,Cyanide sulfurtransferase,cyan_c + tsul_c --> h_c + so3_c + tcynt_c,0.0,1000.0
FDMO,FMNH2-dependent monooxygenase,fmnh2_c + isetac_c + o2_c --> fmn_c + gcald_c + h2o_c + h_c + so3_c,0.0,1000.0
FE3abcpp,iron (III) transport via ABC system,atp_c + fe3_e + h2o_c --> adp_c + fe3_c + h_c + pi_c,0.0,1000.0
FEROpp,ferroxidase,4.0 fe2_c + 4.0 h_c + o2_c --> 4.0 fe3_c + 2.0 h2o_c,0.0,1000.0
Kabcpp,Potassium ABC transporter,atp_c + h2o_c + k_e --> adp_c + h_c + k_c + pi_c,0.0,1000.0
Kt2pp,potassium transport in via proton symport,h_e + k_e --> h_c + k_c,0.0,1000.0
Kt3pp,potassium transport out via proton antiport,h_e + k_c --> h_c + k_e,0.0,1000.0
MG2t3_2pp,magnesium (Mg+2) transport in/out via proton antiport,2.0 h_c + mg2_e <=> 2.0 h_e + mg2_c,-1000.0,1000.0
MG2uabcpp,Magnesium (Mg+2) ABC transporter (ubtake),atp_c + h2o_c + mg2_e --> adp_c + h_c + mg2_c + pi_c,0.0,1000.0
MN2tpp,manganese transport in via permease (no H+),mn2_e --> mn2_c,0.0,1000.0
NAt3_1p5pp,sodium proton antiporter (H:NA is 1.5),3.0 h_e + 2.0 na1_c --> 3.0 h_c + 2.0 na1_e,0.0,1000.0
NAt3_2pp,sodium proton antiporter (H:NA is 2),2.0 h_e + na1_c --> 2.0 h_c + na1_e,0.0,1000.0
NAt3pp,sodium transport out via proton antiport,h_e + na1_c --> h_c + na1_e,0.0,1000.0
NH4tpp,ammonia reversible transport,nh4_e <=> nh4_c,-1000.0,1000.0
NI2tpp,nickel (+2) transport in via permease (no H+),ni2_e --> ni2_c,0.0,1000.0
NI2uabcpp,nickel transport via ABC system (uptake),atp_c + h2o_c + ni2_e --> adp_c + h_c + ni2_c + pi_c,0.0,1000.0
NO2t2rpp,"nitrite transport in via proton symport, reversible",h_e + no2_e <=> h_c + no2_c,-1000.0,1000.0
NO3t7pp,nitrate transport in via nitrite antiport,no2_c + no3_e --> no2_e + no3_c,0.0,1000.0
O2tpp,o2 transport via diffusion,o2_e <=> o2_c,-1000.0,1000.0
PIt2rpp,phosphate reversible transport via symport,h_e + pi_e <=> h_c + pi_c,-1000.0,1000.0
PIuabcpp,phosphate transport via ABC system (uptake),atp_c + h2o_c + pi_e --> adp_c + h_c + 2.0 pi_c,0.0,1000.0
PPTHpp,Phosphonate hydrogenase,h2o_c + ppt_c --> h2_c + pi_c,0.0,1000.0
SFRD,sulfite reductase,fdxox_c + 3.0 h2o_c + h2s_c --> 6.0 fdxrd_c + 6.0 h_c + so3_c,0.0,1000.0
SO3TRDRD,SO3TRDRD,BSU28500-MONOMER + aps_c --> BSU28500-MONOMER_mod_Oxidized + amp_c + 2.0 h_c + so3_c,0.0,1000.0
SULabcpp,sulfate transport via ABC system,atp_c + h2o_c + so4_e --> adp_c + h_c + pi_c + so4_c,0.0,1000.0
ZN2abcpp,"Zinc (Zn+2) ABC transporter, efflux",atp_c + h2o_c + zn2_c --> adp_c + h_c + pi_c + zn2_e,0.0,1000.0
ZN2t3pp,zinc (Zn+2) transport out via proton antiport,h_e + zn2_c --> h_c + zn2_e,0.0,1000.0
ZN2tpp,zinc transport in via permease (no H+),zn2_e --> zn2_c,0.0,1000.0
ZNabcpp,zinc (Zn+2) transport via ABC system,atp_c + h2o_c + zn2_e --> adp_c + h_c + pi_c + zn2_c,0.0,1000.0
CD2tpp,cadmium (+2) transport in via permease (no H+),cd2_e --> cd2_c,0.0,1000.0
CU2tpp,copper transport in via permease (no H+),cu2_e --> cu2_c,0.0,1000.0
FE2tpp,iron (+2) transport in via permease (no H+),fe2_e --> fe2_c,0.0,1000.0
D52DGK,5-dehydro-2-deoxygluconokinase,atp_c + d52dg_c --> 6p5d2dg_c + adp_c,0.0,1000.0
D5GIS,5-deoxy-glucuronate isomerase,d5dg_c <=> d52dg_c,-1000.0,1000.0
MI1PS,myo-inositol 1-phosphate synthase,g6p_c --> mi3p__D_c,0.0,1000.0
MI2DH,myo-inositol 2-dehydrogenase,inost_c + nad_c <=> 2ins_c + h_c + nadh_c,-1000.0,1000.0
MI2DHT,myo-inosose-2 dehydratase,2ins_c <=> h2o_c + thcd_c,-1000.0,1000.0
THCDH,THcHDO hydrolase,h2o_c + thcd_c --> d5dg_c,0.0,1000.0
U23GAAT,UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase,3hmrsACP_c + u3hga_c --> BSU15920-MONOMER_mod_pan4p + h_c + u23ga_c,0.0,1000.0
UAGAAT,UDP-N-acetylglucosamine acyltransferase,3hmrsACP_c + uacgam_c <=> BSU15920-MONOMER_mod_pan4p + u3aga_c,-1000.0,1000.0
ACACT1r,acetyl-CoA C-acetyltransferase,2.0 accoa_c <=> aacoa_c + coa_c,-1000.0,1000.0
ACCOAC,acetyl-CoA carboxylase,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,0.0,1000.0
ACOAD1f,acyl-CoA dehydrogenase (butanoyl-CoA),btcoa_c + fad_c <=> b2coa_c + fadh2_c,-1000.0,1000.0
ACOAD2f,acyl-CoA dehydrogenase (hexanoyl-CoA),fad_c + hxcoa_c <=> fadh2_c + hx2coa_c,-1000.0,1000.0
ACOAD3f,acyl-CoA dehydrogenase (octanoyl-CoA),fad_c + occoa_c <=> fadh2_c + oc2coa_c,-1000.0,1000.0
ACOAD4f,acyl-CoA dehydrogenase (decanoyl-CoA),dcacoa_c + fad_c <=> dc2coa_c + fadh2_c,-1000.0,1000.0
ACOAD5f,acyl-CoA dehydrogenase (dodecanoyl-CoA),ddcacoa_c + fad_c <=> dd2coa_c + fadh2_c,-1000.0,1000.0
ACOAD6f,acyl-CoA dehydrogenase (tetradecanoyl-CoA),fad_c + tdcoa_c <=> fadh2_c + td2coa_c,-1000.0,1000.0
ACOAD7f,acyl-CoA dehydrogenase (hexadecanoyl-CoA),fad_c + pmtcoa_c <=> fadh2_c + hdd2coa_c,-1000.0,1000.0
ACOAD8f,acyl-CoA dehydrogenase (octadecanoyl-CoA),fad_c + stcoa_c <=> fadh2_c + od2coa_c,-1000.0,1000.0
ACOATA,Acetyl-CoA ACP transacylase,BSU15920-MONOMER_mod_pan4p + accoa_c <=> acACP_c + coa_c,-1000.0,1000.0
KAS14,beta-ketoacyl-ACP synthase,acACP_c + h_c + malACP_c --> BSU15920-MONOMER_mod_pan4p + actACP_c + co2_c,0.0,1000.0
KAS15,beta-ketoacyl-ACP synthase (2),accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c,0.0,1000.0
MACPD,Malonyl-ACP decarboxylase,h_c + malACP_c --> acACP_c + co2_c,0.0,1000.0
MCOATA,Malonyl-CoA-ACP transacylase,BSU15920-MONOMER_mod_pan4p + malcoa_c <=> coa_c + malACP_c,-1000.0,1000.0
TDCM_FREE,TDCM-FREE,atp_c + tmcm_c + tre_c <=> adp_c + tdcm_c,-1000.0,1000.0
TMCM_FREE,TMCM-FREE,atp_c + freemyco_c + tre_c --> adp_c + tmcm_c,0.0,1000.0
ACHACB,O-acetylhomoserine aminocarboxypropyltransferase,achms_c + ch4s_c --> ac_c + hcys__L_c,0.0,1000.0
